Term	es	nes	pval	fdr	gene_set_size	matched_size	genes	DRUG
cluster_1	-0.2551566080978105	-3.2395776052854397	0.0	0.0	239	119	SKIL,ZKSCAN1,TRAPPC6A,TRIM29,ASAH1,GATA2,EGR1,PTGIS,TACC1,MYH14,DAPK1,KRT8,OBSL1,ERGIC3,FOS,CTSD,PTPRF,IGFBP5,TIMP2,CES2,SNCG,KRT7,ADAMTSL4,GRN,IGFBP3,SH3BGRL,SLC29A3,CYBRD1,ALPP,DHRS3,FBXO2,EDIL3,DAB2,UPK2,CIR1,NCSTN,TM7SF2,CTNND1,BEST1,RBP1,HCFC1R1,ANXA4,RPS28,HIST1H2AC,FAM134B,XAF1,MSLN,FAM114A1,FN1,SRP14,SEZ6L2,CLSTN3,ITM2B,GABARAPL1,RNF44,TMEM132A,WBP5,FAM127A,CAMK2N1,MUC1,GSN,TTC3,CST6,PCYOX1,TMEM59,KLK7,JUNB,CDKN2B,SERF2,RPL22,CYP1B1,PDLIM1,TINAGL1,NDRG1,SOX4,GOLGA2,PSAP,CLIC3,KRT19,LMO4,CBX6,TNFRSF21,LAPTM4A,TIPARP,RPL28,NEDD9,RARRES3,SEMA3C,TUBA1A,PABPC3,LY6E,CLU,CTSA,KRT13,KLK5,GLUL,TAX1BP3,TCEAL4,MAGED2,ELF3,NEAT1,MUC4,RPS14P3,EPS8L2,RAB13,SIK1,NGFRAP1,ARFGAP1,ALDH3B1,MMP14,NAMPT,ZFAND5,NME3,GSTK1,RPL36,CTSH,NDUFS2,RARRES1,ZDHHC7	JNK-9L
cluster_2	-0.30309709659149203	-5.656048204868433	0.0	0.0	465	262	ATP5G2,RASAL2,MAP2,ANXA11,SRRM2,TBC1D1,HIST1H1C,KIAA1462,IST1,GPR110,KRT8,ME1,PDCD6,PDLIM5,PCDH7,UBE2D1,RPS14,ASPH,EIF3F,IL13RA1,ECH1,LYN,LAMP2,CYB5A,IGFBP5,CHMP1B,RIPK2,STK3,DECR1,UBXN1,PKP2,VGLL1,MXI1,TACSTD2,OSGIN2,ING4,KLHL24,RHOBTB3,MLLT4,WIPI2,GNPDA1,TLE1,MYOF,SCNN1A,MAP3K13,INADL,NR0B1,IGFBP3,SH3BGRL,TGFB2,PPT1,NTAN1,HIST1H2BD,CYBRD1,TRIM38,NENF,SPINT1,DAB2,MBTPS1,RABGAP1L,H2AFJ,CEBPD,FILIP1L,RPL18,FAM127B,SAT1,PPP2R3A,ADD3,ATXN7L3B,CTNND1,CDK14,PRSS22,FXYD3,APP,HCFC1R1,HEG1,ZBED2,CAV1,SRI,YPEL5,HDLBP,UBE2H,KLK8,KDELR1,MIR22HG,JUN,HIST1H2AC,UBE2L6,RALGPS2,CASP4,ARID5B,KYNU,TPT1,TRADD,CD9,ITM2B,PHACTR2,SCD,PALLD,EIF1,TTC9,COX7A2L,TCEAL1,PAWR,RAB11FIP1,CSNK1A1,GULP1,BPGM,TMEM159,CD47,ST3GAL1,GABARAPL1,RNF13,WWC1,LGALS3,NACA,RAB25,ALDH3A2,GATA3,CAST,PINK1,TOX4,CAMLG,SLC20A2,MYL12A,SPSB3,HEBP2,TMEM59,KLK7,WFDC2,CDKN2B,SH3YL1,SNX6,WWP1,YWHAZ,MGST3,PAIP1,TNFSF10,PPP1R15A,CTSB,CTDSPL,NFE2L2,GLTSCR2,PLEKHA1,PERP,PDLIM1,RAB7A,IFI16,QPRT,PNRC1,RNF7,STEAP4,KRCC1,H1FX,VAMP8,PTTG1IP,ZFAND6,BTF3,EIF2S3,RPL13,RPL3,TAX1BP1,ABCC5,LIMCH1,TMEM106B,KRT19,CD55,TJP1,BLVRB,TDP2,PPAP2B,CDC42EP3,SERPINB1,LEPROT,SCRN1,RARRES3,LITAF,TRAM1,EIF4A2,EIF3E,ASS1,SLC16A4,CD46,EHF,EHBP1,SCAMP1,LCN2,CLIP4,SPTSSA,KRT13,GLUL,TM4SF1,IL6ST,ATP6V1G1,DDX17,HEBP1,CITED2,ELF3,VGLL3,EIF3H,COBL,VAMP3,MAP4K3,PIR,HIGD2A,HTATIP2,NFKBIA,IGBP1,CRBN,TPD52L1,MPST,EEF2,SKAP2,RPL15,NAMPT,ZFAND5,STK38,DCAF6,INHBB,MTUS1,NME3,TSG101,KRT18,EIF4B,SNAP23,RPL13A,EPS8,GSTK1,MLPH,H1F0,CHKA,POLR1D,NPC2,STAU1,MVP,NT5C2,SASH1,CCDC6,PGRMC2,ATF4,KLF5,SERPINB6,TSPO,PLA2G16,SQSTM1,COPS2,MYO6,CDKN1B,KLHDC2,BFAR,BTG1,RARRES1,BATF,SERINC3,USP3,DYNLRB1,ARL6IP5,TP53BP2,SLC38A2,VGLL4,SCAND1,GOLPH3	JNK-9L
cluster_3	-0.27803108808289495	-4.448479490958732	0.0	0.0	299	193	SKIL,ZKSCAN1,SVIL,SMARCA1,ANXA11,HIPK2,HIST1H1C,TACC1,MYH14,GPR110,PDCD6,PDLIM5,CADM4,PCDH7,UBE2D1,BMPR2,RAP2B,EPB41L1,TIMP2,SPTBN1,BRD8,PKP2,CAV2,TACSTD2,ING4,RHOBTB3,ALDH7A1,FBXO9,TLE1,MYOF,SCNN1A,PPP4R2,OPTN,GRN,ATP5O,IGFBP3,SH3BGRL,TGFB2,HIST1H2BD,ERP44,BSG,CYBRD1,TRIM38,DHRS3,PAM,ABCC1,MBTPS1,CIR1,RABGAP1L,H2AFJ,KAT6B,FILIP1L,TIMP3,SAT1,MBNL2,MAP2K7,EPN2,BEST1,FXYD3,HEG1,SRI,AHNAK,UBE2H,KLK8,RNF24,CAPG,HIST1H2AC,FAM134B,TFPI,LAMP1,CASP4,MYO1C,SLC35E1,SEZ6L2,CD9,ITM2B,PHACTR2,TRIM2,MYCBP2,PRSS8,PAWR,PPP1CB,GABARAPL1,NINJ1,LRP10,RNF13,LGALS3,GATA3,CUL5,APOBEC3C,MAP4K5,CAMK2N1,GSN,S100A14,PHF20,ACBD3,RUFY1,TMEM59,KLK7,N4BP2L2,MGAT4B,RAD50,JUNB,WFDC2,CDIPT,PCYT1A,MGST3,PPP1R15A,DNAJB6,KLHDC3,TSPAN3,DECR2,GDE1,GLTSCR2,PLEKHA1,PERP,PDLIM1,SOX4,QPRT,PNRC1,PPL,EIF3L,PTTG1IP,PSAP,RNF216,CD63,TMEM106B,KRT19,LMO7,NR1D2,CD55,CDC42EP3,SERPINB1,NEDD9,RARRES3,REST,PPCS,ASS1,MST4,DSP,LCN2,TFG,KRT13,ABI1,KDM5B,CITED2,ELF3,NEAT1,AUP1,LRRC42,NPEPPS,CCNL1,RTN3,LTBP3,ALDH3B1,TMC5,REEP5,EFR3A,CALCOCO2,FZD2,NME3,GBAS,ERP29,SNAP23,RPL13A,EPS8,GSTK1,TMEM66,SERINC1,REPIN1,MLPH,CD59,MVP,GNAQ,PPP1R12A,GOLGA3,KLF5,ARPC3,CTSH,PLA2G16,DAZAP2,COPS2,MYO6,TAF7,PARP4,FOXO3,PTOV1,BTG1,STX16,BATF,CSNK1D,SLC38A2,ADAM10	JNK-9L
cluster_4	-0.2996470417000128	-1.8770358051392102	0.010608486789431545	0.01445057701956849	142	28	CACYBP,BUB1,CALM3,PKP4,PTMS,DIAPH3,NMU,BEST1,SNHG3,TBCA,SMC4,NUPR1,GPX3,DNAJB4,MTMR12,CYP1B1,ZFR,COX8A,MT1X,ALDH2,H2AFV,NAP1L1,TPM1,TOP1,ENAH,ASNS,RPL36,CLIC4	JNK-9L
cluster_0	-0.1644461158267997	-1.743725161439275	0.019024488969844162	0.025087807325639738	275	82	POLR2A,NDUFA5,PRDX2,HNRNPD,PAICS,ZC3H15,CCDC85B,GADD45GIP1,VDAC1,MYO1B,HSPB11,CEP70,GNAS,SUMO1,INHBA,EIF4EBP2,NCF2,TYMS,GSTM4,LSM4,DIAPH3,STK3,NRCAM,RNASEH2B,CCDC25,PHTF1,AXL,TMEM14B,IGFBP7,WWC2,SCP2,AGFG1,IFT57,SAP18,NDUFS7,CYB5R3,UBE2J1,USP14,NDUFA13,GRSF1,SMC4,VAPB,TDG,PTPN11,MAP7D3,GOLIM4,CSNK1A1,TAOK1,NDUFA4,HSPA4,HEXB,ASAP2,SNX6,BNIP3L,GSTM3,SOD1,HINT1,CTBP1,CYP1B1,CYFIP1,FNBP1,H2AFV,NR3C1,NOL7,TPM1,MAP3K7,COX5B,DYNC1I2,UBQLN2,MRPL33,SCFD1,MDH1,CMAS,M6PR,H1F0,CDK2AP2,MEAF6,SMAP1,VPS4B,ATP5H,WIPF2,DDX27	JNK-9L
cluster_7	-0.10328678704395951	-1.149496920725674	0.28104967948717946	0.2754306740257568	371	91	CTBP2,ICMT,COMMD4,PRKDC,ADAMTS12,RFC1,BOK,MSH6,NF2,RIF1,STXBP6,TIMELESS,PAICS,CCDC85B,RB1,CLSPN,PPP5C,PKP4,INHBA,DOCK10,NCAPH2,TYMS,XRCC2,IDH2,GSTM4,RANBP1,NPAT,DIAPH3,FARP2,EPAS1,HTATSF1,GADD45A,DIO2,H2AFX,RRP1B,ERC1,CPA4,XRCC3,AXL,CREBZF,IGFBP7,UBE2I,ITM2C,ING2,MCAM,DDX11,USP14,MBD4,SIVA1,NUPR1,NUP210,HNRNPUL2,CEP57,FN1,PSIP1,MFAP5,ROCK2,H2AFY,MEX3D,GOLIM4,MAP1B,TPD52,FLNC,GLO1,PLOD1,PEX5,DUSP4,CYP1B1,PELP1,MATN2,VKORC1,MTCH1,TWSG1,UNKL,SMC6,NNT,CDC42EP1,NAP1L1,TPM1,PLCB4,SMCHD1,ENAH,RAB32,DGKD,SLC7A1,MAZ,RBM25,MAPK1IP1L,RTF1,DNAJC1,CLIC4	JNK-9L
cluster_1	-0.259020391373355	-3.268781299701499	0.0	0.0	239	119	SKIL,TACC1,ASAH1,MYH14,FOS,GATA2,OBSL1,TRIM29,ERGIC3,DAPK1,BEST1,KRT7,GABARAPL1,RNF44,EGR1,CIR1,ZKSCAN1,RPS28,PTGIS,CES2,CDKN2B,FBXO2,ADAMTSL4,ALPP,XAF1,KRT8,TIMP2,TRAPPC6A,JUNB,SNCG,CTNND1,TIPARP,CYP1B1,ZFAND5,IGFBP5,TNFRSF21,IGFBP3,PTPRF,HIST1H2AC,EDIL3,KLK7,KLK5,SIK1,SLC29A3,LMO4,SRP14,CYBRD1,NAMPT,ARFGAP1,FAM134B,TMEM132A,CLSTN3,MUC4,GLUL,FN1,NEAT1,MSLN,UPK2,NDRG1,NEDD9,TCEAL4,SOX4,RARRES3,RPL28,RBP1,NCSTN,DHRS3,FAM114A1,SEMA3C,SEZ6L2,CTSD,DAB2,ITM2B,MMP14,MUC1,KRT13,CAMK2N1,PSAP,WBP5,CST6,ZDHHC7,CBX6,LAPTM4A,TMEM59,TM7SF2,GOLGA2,KRT19,CTSA,SH3BGRL,TUBA1A,TINAGL1,RPS14P3,GSN,SERF2,ANXA4,FAM127A,NDUFS2,LY6E,CLIC3,CLU,PDLIM1,EPS8L2,ELF3,MAGED2,PABPC3,CTSH,RPL36,NGFRAP1,GSTK1,RAB13,ALDH3B1,RPL22,PCYOX1,NME3,RARRES1,TTC3,TAX1BP3,HCFC1R1,GRN	LDN-193189
cluster_2	-0.2732606916838693	-5.081281717084651	0.0	0.0	465	262	UBXN1,SRRM2,CEBPD,TBC1D1,RASAL2,RPS14,NFE2L2,KLHL24,EIF1,JUN,KYNU,MAP2,RHOBTB3,EIF3F,ASPH,PPP1R15A,PDLIM5,IST1,UBE2D1,STK3,ATP5G2,SAT1,MIR22HG,UBE2L6,ME1,NACA,OSGIN2,PDCD6,MLLT4,LYN,ST3GAL1,RIPK2,GABARAPL1,KIAA1462,MAP3K13,TACSTD2,GNPDA1,PKP2,TGFB2,CASP4,GATA3,CYB5A,CHMP1B,PCDH7,CDKN2B,MYOF,SQSTM1,RPL18,GPR110,ARID5B,WIPI2,NFKBIA,TJP1,ANXA11,TOX4,TP53BP2,MXI1,HIST1H1C,YPEL5,SPINT1,KRT8,PPAP2B,SLC20A2,PNRC1,MBTPS1,CTNND1,NENF,CSNK1A1,TLE1,ZFAND6,LCN2,PRSS22,CD55,ZFAND5,IGFBP5,TPT1,IGFBP3,VGLL1,FILIP1L,ING4,HIST1H2AC,ATXN7L3B,FXYD3,KLK7,BTG1,PHACTR2,SCNN1A,GULP1,INADL,RALGPS2,APP,CAST,EIF4A2,NR0B1,ZBED2,CYBRD1,TSG101,NAMPT,BPGM,SRI,HIST1H2BD,HEG1,CD9,GLUL,TTC9,KLK8,PPP2R3A,UBE2H,INHBB,CHKA,CDC42EP3,NT5C2,ASS1,TM4SF1,CDK14,RNF13,VGLL3,MAP4K3,PLEKHA1,RAB7A,BTF3,IFI16,SPSB3,RABGAP1L,CD47,PAWR,SASH1,MVP,ECH1,IL13RA1,TMEM159,RAB11FIP1,CAV1,ATF4,RARRES3,PINK1,FAM127B,IL6ST,USP3,SCRN1,PAIP1,DDX17,PERP,H2AFJ,SCAMP1,TRIM38,ATP6V1G1,KLF5,WWC1,H1F0,CITED2,BATF,WWP1,TAX1BP1,SPTSSA,MLPH,DAB2,ITM2B,CRBN,PALLD,KRT13,COPS2,RAB25,ALDH3A2,STEAP4,TRADD,POLR1D,TCEAL1,LAMP2,COBL,ABCC5,SLC38A2,EHF,SNAP23,CLIP4,TNFSF10,TPD52L1,TMEM59,GLTSCR2,LIMCH1,CDKN1B,HDLBP,WFDC2,H1FX,YWHAZ,TDP2,LEPROT,QPRT,HEBP1,STK38,STAU1,KRT19,VAMP8,SERINC3,EPS8,MTUS1,COX7A2L,CD46,PIR,BFAR,LGALS3,SH3BGRL,EEF2,CAMLG,PTTG1IP,HTATIP2,EIF3H,GOLPH3,RPL13,PGRMC2,HEBP2,PPT1,NTAN1,VAMP3,MYL12A,MGST3,CTSB,SKAP2,KRCC1,SH3YL1,KLHDC2,LITAF,PDLIM1,ELF3,VGLL4,TRAM1,MYO6,RPL3,EIF3E,RNF7,PLA2G16,DYNLRB1,CCDC6,SCAND1,BLVRB,SERPINB1,ADD3,KRT18,HIGD2A,EIF4B,SCD,EIF2S3,MPST,GSTK1,SNX6,CTDSPL,IGBP1,DCAF6,NME3,RARRES1,SLC16A4,RPL15,KDELR1,HCFC1R1,TMEM106B,EHBP1,NPC2,RPL13A,DECR1,TSPO,ARL6IP5,SERPINB6	LDN-193189
cluster_3	-0.2349222797927024	-3.742242094735794	0.0	0.0	299	193	SKIL,TACC1,RAP2B,MYH14,SMARCA1,RHOBTB3,ERP44,PPP1R15A,PDLIM5,SVIL,SPTBN1,BRD8,UBE2D1,PPP4R2,SAT1,BEST1,MAP4K5,FOXO3,PDCD6,CCNL1,GABARAPL1,CIR1,TACSTD2,PKP2,TGFB2,CASP4,CAV2,ZKSCAN1,GATA3,PCDH7,FBXO9,MYOF,OPTN,GPR110,MYCBP2,BMPR2,ANXA11,TFPI,EPN2,HIST1H1C,MBNL2,MAP2K7,ACBD3,TIMP2,PNRC1,EPB41L1,RNF24,ABCC1,JUNB,MBTPS1,TLE1,PCYT1A,SLC35E1,LCN2,CADM4,HIPK2,CD55,KDM5B,RNF216,DNAJB6,N4BP2L2,IGFBP3,FILIP1L,ING4,HIST1H2AC,PHF20,FXYD3,KLK7,BTG1,PHACTR2,CSNK1D,SERINC1,SCNN1A,LMO7,KAT6B,ABI1,ALDH7A1,CYBRD1,TAF7,SRI,FAM134B,HIST1H2BD,HEG1,CD9,PRSS8,TMC5,KLK8,NEAT1,UBE2H,TIMP3,CDC42EP3,ASS1,RNF13,TFG,CUL5,PLEKHA1,CDIPT,NINJ1,RABGAP1L,PAWR,TRIM2,RUFY1,NEDD9,MVP,S100A14,SOX4,RARRES3,DHRS3,PERP,H2AFJ,PPL,MST4,TRIM38,KLF5,LRRC42,PPP1CB,PAM,GOLGA3,STX16,CITED2,CD63,BATF,SEZ6L2,AUP1,MLPH,ITM2B,KRT13,COPS2,CAMK2N1,PSAP,GNAQ,NPEPPS,CAPG,DSP,RAD50,MYO1C,SLC38A2,SNAP23,REST,TMEM59,EFR3A,GLTSCR2,AHNAK,EIF3L,WFDC2,PPP1R12A,DAZAP2,QPRT,KRT19,KLHDC3,EPS8,CALCOCO2,LGALS3,SH3BGRL,LAMP1,PTTG1IP,BSG,FZD2,GSN,REEP5,ATP5O,REPIN1,MGST3,APOBEC3C,TSPAN3,ARPC3,PDLIM1,ELF3,MYO6,PLA2G16,CTSH,SERPINB1,LTBP3,TMEM66,MGAT4B,RTN3,NR1D2,CD59,GDE1,GSTK1,ALDH3B1,LRP10,PPCS,NME3,ERP29,GRN,ADAM10,DECR2,TMEM106B,GBAS,PTOV1,RPL13A,PARP4	LDN-193189
cluster_0	-0.24468704475996736	-2.5946020755127717	0.0	5.067396371744198e-05	275	82	CCDC85B,NDUFA5,GADD45GIP1,POLR2A,DIAPH3,ZC3H15,TYMS,MYO1B,INHBA,STK3,HNRNPD,VDAC1,PAICS,AGFG1,LSM4,MAP7D3,HSPB11,UBQLN2,USP14,GRSF1,TDG,WIPF2,GSTM4,CSNK1A1,PHTF1,UBE2J1,NRCAM,CYP1B1,SUMO1,NCF2,EIF4EBP2,SMC4,RNASEH2B,PRDX2,GNAS,TAOK1,DDX27,WWC2,CEP70,GOLIM4,IGFBP7,VAPB,FNBP1,NR3C1,MEAF6,HSPA4,SAP18,PTPN11,H1F0,VPS4B,MAP3K7,CCDC25,CMAS,NOL7,ASAP2,SOD1,SCFD1,AXL,TPM1,BNIP3L,NDUFA13,CDK2AP2,IFT57,H2AFV,CYB5R3,TMEM14B,HEXB,CTBP1,SMAP1,M6PR,NDUFS7,DYNC1I2,GSTM3,HINT1,NDUFA4,SNX6,CYFIP1,COX5B,SCP2,ATP5H,MRPL33,MDH1	LDN-193189
