GENE	TCGA-OR-A5J1	TCGA-OR-A5J2	TCGA-OR-A5J3
A1BG	16.3305	9.5987	20.7377
A1CF	0.0000	0.0000	0.5925
A2BP1	17.2911	5.6368	8.8876
A2LD1	182.3919	239.1584	138.8831
A2ML1	54.7550	0.0000	1.7775
A2M	10373.6984	9844.9128	7201.8368
A4GALT	190.6820	198.8994	75.2481
A4GNT	0.0000	0.0000	2.3700
AAA1	0.0000	0.0000	0.0000
AAAS	2225.2642	1509.4613	1259.6652
AACSL	0.0000	0.4026	0.0000
AACS	1266.0903	981.6129	5182.0471
AADACL2	0.0000	0.0000	0.0000
AADACL3	0.0000	0.0000	0.0000
AADACL4	0.0000	0.0000	0.0000
AADAC	0.0000	1.2079	107.2434
AADAT	121.0375	31.0025	39.1053
AAGAB	1327.0893	1271.1041	1090.8014
AAK1	868.8761	1627.0294	1158.3469
AAMP	2636.4073	1931.0153	2408.5321
AANAT	1.4409	0.0000	0.0000
AARS2	299.7118	408.6658	291.5124
AARSD1	904.4188	361.5621	451.4887
AARS	3520.6532	5470.9417	4042.6603
AASDHPPT	1467.3391	820.5366	1048.1410
AASDH	101.3449	249.2282	206.1917
AASS	946.2056	183.1968	303.9550
AATF	1256.4841	1055.6969	895.8673
AATK	27.8578	1081.4169	93.0233
ABAT	1580.6916	1477.6535	943.2677
ABCA10	70.6052	9.6631	36.7353
ABCA11P	46.2488	76.4031	28.4936
ABCA12	0.0000	0.0000	5.3325
ABCA13	0.4803	0.8053	164.1238
ABCA17P	42.2671	12.8842	31.9953
ABCA1	319.4044	1071.7981	896.4598
ABCA2	804.5149	992.4839	3065.0274
ABCA3	729.5869	1097.9731	4815.2866
ABCA4	2.4015	6.8447	7.1101
ABCA5	2036.9837	268.5545	878.6846
ABCA6	14.4092	28.5868	19.5527
ABCA7	431.3160	210.9783	418.9009
ABCA8	4.3228	121.9970	1368.6861
ABCA9	36.0231	40.6657	39.6978
ABCB10	413.0644	381.6936	178.9365
ABCB11	0.4803	0.0000	1.7775
ABCB1	1052.3535	2837.3363	18921.0487
ABCB4	363.5927	5538.5836	5724.7815
ABCB5	7.2046	1.6105	5.3325
ABCB6	1821.4793	454.4328	973.8883
ABCB7	199.3276	529.4590	495.3340
ABCB8	917.3871	1460.7430	2292.4011
ABCB9	185.9126	204.0813	308.6832
ABCC10	808.3573	784.3240	661.8279
ABCC11	3.3622	2.0132	5.3325
ABCC12	0.0000	0.0000	0.0000
ABCC13	0.0000	0.0000	0.0000
ABCC1	930.3554	2129.1095	2451.1924
ABCC2	3.8425	4.4289	17.7751
ABCC3	679.6350	1107.6362	7083.3951
ABCC4	173.3910	208.9652	82.3582
ABCC5	1212.7762	1523.5534	1316.5457
ABCC6P1	1.4409	2.0132	2.3700
ABCC6P2	43.2277	19.3263	7.1101
